subject,word,order,judgment,judgment_z
subject105,permissionist,59,1,-2.197512323
subject105,overgorgeous,60,7,0.726007397
subject105,interlogical,61,7,0.726007397
subject105,negotiational,62,4,-0.735752463
subject105,perpetratorship,63,1,-2.197512323
subject105,intercolloquial,64,1,-2.197512323
subject105,tropicalize,65,6,0.23875411
subject105,pretensionist,66,6,0.23875411
subject105,nondomination,67,7,0.726007397
subject105,accountability,68,7,0.726007397
subject105,oppressorship,69,4,-0.735752463
subject105,nonerosion,70,7,0.726007397
subject105,nontermination,71,7,0.726007397
subject105,unacceptable,72,7,0.726007397
subject105,suctionist,73,3,-1.22300575
subject105,nonprovision,74,7,0.726007397
subject105,pelvically,75,2,-1.710259036
subject105,cageiness,76,4,-0.735752463
subject105,oversynonymous,77,1,-2.197512323
subject105,overtedious,78,7,0.726007397
subject105,absorptional,79,1,-2.197512323
subject105,depressionist,80,1,-2.197512323
subject105,submemorial,81,1,-2.197512323
subject105,desocialize,82,7,0.726007397
subject105,imitational,83,1,-2.197512323
subject105,cataclysmically,84,7,0.726007397
subject105,nonposition,85,7,0.726007397
subject105,nonabolition,86,7,0.726007397
subject105,preinstruction,87,6,0.23875411
subject105,unobtainable,88,7,0.726007397
subject105,herbally,89,7,0.726007397
subject105,unallowable,90,5,-0.248499176
subject105,overzealous,91,7,0.726007397
subject105,avoidability,92,7,0.726007397
subject105,inscriptional,93,3,-1.22300575
subject105,preautomation,94,6,0.23875411
subject105,murkiness,95,7,0.726007397
subject105,preprohibition,96,7,0.726007397
subject105,surveyorship,97,7,0.726007397
subject105,decoratorship,98,7,0.726007397
subject105,depublicize,99,4,-0.735752463
subject105,archetypally,100,1,-2.197512323
